"","Gene","Rep2","FPKM.cellexpress","LOG.FPKM.0.01.","Curve"
"365","FBgn0033912",-6.9943,4366.615,"3.64014589688501",1
"1262","FBgn0025455",-6.9924,21.3957,"1.33052943451401",1
"831","FBgn0029958",-6.9868,20.5598,"1.3132300690735",1
"380","FBgn0262519",-6.9797,85.5,"1.9320169064342",1
"1049","FBgn0002413",-6.9751,56.57485,"1.75270016895989",1
"707","FBgn0030291",-6.9308,8.716195,"0.940824913725031",1
"848","FBgn0036213",-6.9223,2931.935,"3.46715581916809",1
"267","FBgn0259791",-6.9184,12.3409,"1.09169860543312",1
"258","FBgn0032906",-6.9173,133.852,"2.12665730940553",1
"403","FBgn0033883",-6.9139,30.8963,"1.49004701587647",1
"753","FBgn0283427",-6.9117,151,"2.17900570756482",1
"528","FBgn0036356",-6.9082,12.778,"1.10680262759965",1
"1029","FBgn0027567",-6.9079,73.28165,"1.86505449898644",1
"935","FBgn0026869",-6.9061,13.8274,"1.1410544953426",1
"393","FBgn0261609",-6.9038,230,"2.3617467179759",1
"781","FBgn0037566",-6.8579,35.28565,"1.54772118421481",1
"306","FBgn0000575",-6.8534,26.46105,"1.42277116835695",1
"805","FBgn0263120",-6.8525,39,"1.59117595031179",1
"353","FBgn0010621",-6.8221,580.653,"2.76392415355566",1
"485","FBgn0086371",-6.8073,34.1421,"1.53341741344571",1
"238","FBgn0003676",-6.7986,212.1385,"2.3266399654261",1
"441","FBgn0039254",-6.7977,14.089,"1.14918831053601",1
"925","FBgn0030320",-6.7932,13.62265,"1.1345802849258",1
"867","FBgn0067628",-6.7874,9.08311,"0.958712444810374",1
"453","FBgn0266490",-6.7802,38.5,"1.58557351862273",1
"525","FBgn0024196",-6.7739,178.3925,"2.25140093596274",1
"1120","FBgn0050077",-6.7601,14.77135,"1.16971410055245",1
"641","FBgn0037232",-6.742,7.58573,"0.880569518782968",1
"992","FBgn0036762",-6.7366,159.9045,"2.20388784451222",1
"864","FBgn0011336",-6.7361,134.9415,"2.13017771614783",1
"1315","FBgn0031194",-6.7319,19.09095,"1.28105496774499",1
"663","FBgn0001197",-6.7312,266.9395,"2.42642911175529",1
"372","FBgn0000426",-6.73,139.1935,"2.14365015489794",1
"1171","FBgn0261278",-6.7195,52.32515,"1.71879347325547",1
"1175","FBgn0035890",-6.7118,11.7488,"1.0703630037155",1
"1374","FBgn0263655",-6.7005,2,"0.303196057420489",1
"595","FBgn0033926",-6.6968,352.1465,"2.54673570888078",1
"650","FBgn0001341",-6.6809,13.89008,"1.14301729978349",1
"1002","FBgn0038478",-6.6736,6.382875,"0.805696212749057",1
"989","FBgn0011205",-6.6686,43.38,"1.63738965012921",1
"846","FBgn0015402",-6.666,13.22605,"1.12175839906526",1
"520","FBgn0086357",-6.6446,254.377,"2.40549491368816",1
"232","FBgn0262716",-6.6316,245,"2.38918381030816",1
"1418","FBgn0037943",-6.6276,21.9117,"1.34087423010391",1
"405","FBgn0019938",-6.6014,27.82,"1.44451320633404",1
"2956","FBgn0001291",-6.5964,57.3434,"1.75855916866222",1
"344","FBgn0266410",-6.5913,35.5,"1.55035067230162",1
"665","FBgn0001565",-6.5899,59.1023,"1.7716778576381",1
"410","FBgn0021906",-6.589,248.8395,"2.39593677247623",1
"790","FBgn0035107",-6.5866,44.72995,"1.65069549440665",1
"800","FBgn0027057",-6.5856,30.37325,"1.48263422711643",1
"356","FBgn0000319",-6.578,152.427,"2.18309039315532",1
"554","FBgn0010422",-6.5778,43.41685,"1.63775832862006",1
"229","FBgn0024238",-6.5641,68.52485,"1.8359114665862",1
"679","FBgn0003124",-6.5589,81.4889,"1.91115174705711",1
"585","FBgn0028686",-6.556,146.4055,"2.16558705492008",1
