Gene,Rep1,Rep2,avgatsglevel,FPKM cellexpress,LOG(FPKM+0.01),Curve
FBgn0037780,2.8644,1.8115,2.198,15.20255,1.18220201866217,1
FBgn0028875,3.327,1.7647,2.2003,0.0180566,-1.55196495949101,0
FBgn0264541,1.7069,2.1643,2.2006,0,-2,0
FBgn0039195,-1.3748,5.0091,2.2011,0,-2,0
FBgn0035042,0.53704,3.6652,2.2012,0.00803615,-1.7438561614836,0
FBgn0034965,4.0237,0.064826,2.2024,2.555275,0.40913392873857,1
FBgn0028837,3.5778,1.1672,2.2029,51.4389,1.71137609379161,1
FBgn0042102,2.3173,1.9527,2.2041,0.0914545,-0.993728685133089,0
FBgn0039770,2.6885,1.8108,2.2055,0.01501275,-1.60183855760299,0
FBgn0023178,4.13,0.43981,2.2083,0.0861944,-1.01685020987371,0
FBgn0011802,3.1637,1.5571,2.2085,6.720315,0.828035391053152,1
FBgn0283437,3.8575,0.83688,2.2107,12.5,1.09725730969342,1
FBgn0039636,1.5841,2.6504,2.2121,29.12755,1.46445303177807,1
FBgn0027287,4.341,0.10223,2.2125,25.2815,1.4029745874466,1
FBgn0033751,3.6441,0.80145,2.2135,68.67895,1.83688687767078,1
FBgn0039723,1.1792,3.3695,2.2142,0.0577665,-1.16898494419529,0
FBgn0259185,3.3148,1.3444,2.2143,0.04481075,-1.26113425524156,0
FBgn0041195,2.8573,1.4828,2.2145,0.004913265,-1.82642726491374,0
FBgn0031726,3.0227,1.5658,2.2147,0,-2,0
FBgn0033423,2.818,2.1252,2.2148,0.428916,-0.357618587336716,0
FBgn0041723,2.7929,1.3792,2.215,1.227107,0.092407264301621,1
FBgn0036870,1.1162,3.3639,2.2153,0.075324,-1.06892879296467,0
FBgn0042185,3.0399,1.3735,2.2162,5.089545,0.707531428489215,1
FBgn0052532,1.1524,2.7763,2.2189,0.234995,-0.610842778878601,0
FBgn0000659,2.1752,2.0315,2.2202,0.03780255,-1.32054893557637,0
FBgn0034429,1.268,3.346,2.2215,0,-2,0
FBgn0020655,2.7266,1.9396,2.2231,39.6233,1.59806023463859,1
FBgn0032401,0.65921,3.626,2.2233,1.8335,0.265643141942135,1
FBgn0259896,2.6316,1.8929,2.2236,10.213185,1.00958621991145,1
FBgn0032362,2.1292,2.6401,2.2245,0.04511475,-1.25873215820167,0
FBgn0038819,1.2591,2.4382,2.2249,0.00624485,-1.78928429444353,0
FBgn0034380,0.059928,3.9091,2.2255,7.870165,0.896535311123983,1
FBgn0033749,3.2431,1.6489,2.2255,3.781625,0.578825378116431,1
FBgn0003390,2.6643,2.2682,2.2269,1.60105,0.20710901924425,1
FBgn0002543,2.063,2.2356,2.2295,2.93625,0.46926959553238,1
FBgn0033359,3.445,0.93782,2.2323,2.035225,0.31074109272636,1
FBgn0083981,0.98988,3.1075,2.234,0.05441225,-1.19103153013275,0
FBgn0036941,1.5581,2.5551,2.2343,0.03457315,-1.35092667308732,0
FBgn0034435,2.5569,1.9026,2.2367,0.0809149,-1.04136493462745,0
FBgn0041712,2.8435,2.0352,2.237,3.114855,0.49482986994861,1
FBgn0262572,3.3307,1.2236,2.2401,0,-2,0
FBgn0266521,3.3355,1.1468,2.2403,52.5,1.72024201828706,1
FBgn0010323,3.3202,1.2063,2.2408,0.02019875,-1.52001103317985,0
FBgn0016078,-1.7815,-0.86659,2.2412,14.15,1.15106325335375,1
FBgn0037503,1.0216,3.2445,2.2426,0.0128577,-1.64096747155935,0
